2026-07-02 12:47:07,293 | INFO | rag_app_2026-07-02_12-47-07 | session_log_file=logs\session_2026-07-02_12-47-07.log
2026-07-02 12:47:07,293 | INFO | rag_app_2026-07-02_12-47-07 | application_start=true
2026-07-02 12:47:17,881 | INFO | rag_app_2026-07-02_12-47-07 | USER: what happed in 2023
2026-07-02 12:47:17,883 | INFO | rag_app_2026-07-02_12-47-07 | route=document
2026-07-02 12:47:19,318 | INFO | rag_app_2026-07-02_12-47-07 | fuzzy_corrected_question=events in documents from 2023
2026-07-02 12:47:19,318 | INFO | rag_app_2026-07-02_12-47-07 | raw_query_variants=['what happed in 2023', 'what happened in 2023', 'events in 2023']
2026-07-02 12:47:19,322 | INFO | rag_app_2026-07-02_12-47-07 | filtered_query_variants=['what happed in 2023', 'what happened in 2023', 'events in 2023']
2026-07-02 12:47:19,434 | INFO | rag_app_2026-07-02_12-47-07 | multi_query_retrieval_time_seconds=0.1118
2026-07-02 12:47:19,434 | INFO | rag_app_2026-07-02_12-47-07 | normalized_question=what happed in 2023
2026-07-02 12:47:20,382 | INFO | rag_app_2026-07-02_12-47-07 | relevance=False
2026-07-02 12:47:20,383 | INFO | rag_app_2026-07-02_12-47-07 | low_confidence_relevance=true
2026-07-02 12:47:24,478 | INFO | rag_app_2026-07-02_12-47-07 | retrieved_sources=[{'chunk_index': 3, 'filename': '2023_10_02T075900-9to5Linux_Weekly_Roundup_October_1st_2023.pdf', 'source': 'data\\2023_10_02T075900-9to5Linux_Weekly_Roundup_October_1st_2023.pdf'}, {'filename': '2023_08_23T221148-Kali_Linux_20233_Released_with_9_New_Tools_for_Ethical_Hacking_Linux_Kernel_63.pdf', 'chunk_index': 0, 'source': 'data\\2023_08_23T221148-Kali_Linux_20233_Released_with_9_New_Tools_for_Ethical_Hacking_Linux_Kernel_63.pdf'}, {'filename': '2023_07_11T202150-Linux_Kernel_63_Reaches_End_of_Life_Users_Urged_to_Upgrade_to_Linux_64.pdf', 'chunk_index': 4, 'source': 'data\\2023_07_11T202150-Linux_Kernel_63_Reaches_End_of_Life_Users_Urged_to_Upgrade_to_Linux_64.pdf'}, {'chunk_index': 1, 'filename': '2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf', 'source': 'data\\2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf'}]
2026-07-02 12:47:24,480 | INFO | rag_app_2026-07-02_12-47-07 | ASSISTANT: I could not find that in the provided documents.
2026-07-02 12:47:33,090 | INFO | rag_app_2026-07-02_12-47-07 | USER: what happened in 2023
2026-07-02 12:47:33,090 | INFO | rag_app_2026-07-02_12-47-07 | route=corpus_summary
2026-07-02 12:47:34,533 | INFO | rag_app_2026-07-02_12-47-07 | corpus_summary_raw_query_variants=['what happened in 2023', 'events in 2023', 'events mentioned in the documents whats happened in 2023']
2026-07-02 12:47:34,533 | INFO | rag_app_2026-07-02_12-47-07 | corpus_summary_filtered_query_variants=['events mentioned in the documents whats happened in 2023', 'what happened in 2023', 'events in 2023']
2026-07-02 12:47:34,571 | INFO | rag_app_2026-07-02_12-47-07 | corpus_summary_retrieval_time_seconds=0.0374
2026-07-02 12:47:36,396 | INFO | rag_app_2026-07-02_12-47-07 | ASSISTANT: - Kali Linux 2023.3 released (Source 5)
2026-07-02 12:49:50,137 | INFO | rag_app_2026-07-02_12-47-07 | USER: exit
2026-07-02 12:49:50,137 | INFO | rag_app_2026-07-02_12-47-07 | route=control
2026-07-02 12:49:50,138 | INFO | rag_app_2026-07-02_12-47-07 | ASSISTANT: Goodbye.
2026-07-02 12:49:50,138 | INFO | rag_app_2026-07-02_12-47-07 | application_exit=true
